sample_id,model,setting,question_id,image_path,level,class_name,answer_type,question,gold,raw_prediction,parser_prediction,auto_correct,auto_error_type,parser_ok,corrected_prediction,notes
parser_v04_011,Qwen2.5-VL-7B,dim_non_target,coco_304917_coco_304917_car_1_l3_car_1_right_car_2,images/coco_000000304917.jpg,L3,car,attribute,What color is the car immediately to the right of the gray car?,silver,red,red,FALSE,non_adjacent_misbinding,yes,,
parser_v04_012,Qwen2.5-VL-7B,crop_oracle,coco_83364_coco_83364_car_1_l3_car_4_left_car_3,images/coco_000000083364.jpg,L3,car,attribute,What color is the car immediately to the left of the black car?,gray,Blue,blue,FALSE,non_adjacent_misbinding,yes,,
parser_v04_013,Qwen2.5-VL-7B,context_crop,manual_20260713_0012_manual_20260713_0012_suitcase_1_l1_suitcase_1_color,images/manual_20260713_0012.jpg,L1,suitcase,attribute,What color is the leftmost suitcase?,pink,Orange,orange,FALSE,non_adjacent_misbinding,yes,,
parser_v04_014,Qwen2.5-VL-7B,dim_non_target,coco_479350_coco_479350_person_1_l3_person_2_right_person_3,images/coco_000000479350.jpg,L3,person,attribute,What color is the upper clothing of the person immediately to the right of the person wearing pink upper clothing?,red,white,white,FALSE,non_adjacent_misbinding,yes,,
parser_v04_015,Qwen2.5-VL-7B,box_guided,manual_0101_manual_0101_person_1_l3_person_5_left_person_4,images/manual_0101.png,L3,person,attribute,What color is the upper clothing of the person immediately to the left of the person wearing black upper clothing?,brown,red,red,FALSE,non_adjacent_misbinding,yes,,
parser_v04_016,Qwen2.5-VL-7B,full_image,manual_20260713_0027_manual_20260713_0027_bottle_1_l3_bottle_6_left_bottle_5,images/manual_20260713_0027.jpg,L3,bottle,attribute,What color is the bottle immediately to the left of the white bottle?,orange,Red,red,FALSE,non_adjacent_misbinding,yes,,
parser_v04_017,Qwen2.5-VL-7B,box_guided,coco_37456_coco_37456_person_1_l3_person_2_right_person_3,images/coco_000000037456.jpg,L3,person,attribute,What color is the upper clothing of the person immediately to the right of the person wearing white upper clothing?,multicolor,black,black,FALSE,non_adjacent_misbinding,yes,,
parser_v04_018,Qwen2.5-VL-7B,crop_oracle,manual_20260713_0109_manual_20260713_0109_person_1_l3_person_2_left_person_1,images/manual_20260713_0109.png,L3,person,attribute,What color is the upper clothing of the person immediately to the left of the person wearing white upper clothing?,red,Pink,pink,FALSE,out_of_set_hallucination,yes,,
parser_v04_019,Qwen2.5-VL-7B,context_crop,manual_20260713_0007_manual_20260713_0007_motorcycle_1_l1_motorcycle_1_color,images/manual_20260713_0007.jpg,L1,motorcycle,attribute,What color is the leftmost motorcycle?,black,Blue,blue,FALSE,out_of_set_hallucination,yes,,
parser_v04_020,Qwen2.5-VL-7B,context_crop,coco_326970_coco_326970_person_1_l1_person_1_upper_clothing_color,images/coco_000000326970.jpg,L1,person,attribute,What color is the upper clothing of the leftmost person?,pink,Pink and white striped.,multicolor,FALSE,out_of_set_hallucination,yes,,raw 描述的是粉+白两种颜色，"multicolor"是合理的语义概括
parser_v04_021,Qwen2.5-VL-7B,box_guided,coco_555696_coco_555696_car_1_l3_car_2_right_car_3,images/coco_000000555696.jpg,L3,car,attribute,What color is the car immediately to the right of the white car?,black,silver,silver,FALSE,out_of_set_hallucination,yes,,
parser_v04_022,Qwen2.5-VL-7B,crop_oracle,coco_523871_coco_523871_chair_1_l3_chair_1_right_chair_2,images/coco_000000523871.jpg,L3,chair,attribute,What color is the chair immediately to the right of the white chair?,yellow,Brown,brown,FALSE,out_of_set_hallucination,yes,,
parser_v04_023,Qwen2.5-VL-7B,crop_oracle,coco_542302_coco_542302_umbrella_1_l3_umbrella_1_right_umbrella_2,images/coco_000000542302.jpg,L3,umbrella,attribute,What color is the umbrella immediately to the right of the red umbrella?,yellow,Rainbow,rainbow,FALSE,out_of_set_hallucination,yes,,
parser_v04_024,Qwen2.5-VL-7B,context_crop,gqa_3571_gqa_3571_car_1_l3_car_2_left_car_1,images/gqa_3571.jpg,L3,car,attribute,What color is the car immediately to the left of the blue car?,beige,Red,red,FALSE,out_of_set_hallucination,yes,,
parser_v04_025,Qwen2.5-VL-7B,full_image,manual_0028_manual_0028_person_1_l4_person_2_upper_clothing_color_red_yes,images/manual_0028.jpg,L4,person,yes_no,Is the upper clothing of the second from left person red?,yes,No,no,FALSE,attribute_recognition_failure,yes,,
parser_v04_026,Qwen2.5-VL-7B,full_image,manual_20260713_0122_manual_20260713_0122_hat_1_l4_hat_3_color_black_yes,images/manual_20260713_0122.png,L4,hat,yes_no,Is the rightmost hat black?,yes,No,no,FALSE,attribute_recognition_failure,yes,,
parser_v04_027,Qwen2.5-VL-7B,full_image,coco_101860_coco_101860_person_1_l4_person_2_upper_clothing_color_white_yes,images/coco_000000101860.jpg,L4,person,yes_no,Is the upper clothing of the middle person white?,yes,no,no,FALSE,attribute_recognition_failure,yes,,
parser_v04_028,Qwen2.5-VL-7B,full_image,gqa_2317453_gqa_2317453_bag_1_l4_bag_3_color_white_yes,images/gqa_2317453.jpg,L4,bag,yes_no,Is the rightmost bag white?,yes,no,no,FALSE,attribute_recognition_failure,yes,,
parser_v04_029,Qwen2.5-VL-7B,full_image,manual_20260713_0149_manual_20260713_0149_hat_1_l4_hat_1_color_yellow_yes,images/manual_20260713_0149.png,L4,hat,yes_no,Is the leftmost hat yellow?,yes,No,no,FALSE,attribute_recognition_failure,yes,,
parser_v04_030,Qwen2.5-VL-7B,full_image,coco_435012_coco_435012_person_1_l4_person_2_upper_clothing_color_black_yes,images/coco_000000435012.jpg,L4,person,yes_no,Is the upper clothing of the middle person black?,yes,no,no,FALSE,attribute_recognition_failure,yes,,
parser_v04_031,Qwen2.5-VL-7B,context_crop,coco_576886_coco_576886_person_1_l1_person_3_upper_clothing_color,images/coco_000000576886.jpg,L1,person,attribute,What color is the upper clothing of the rightmost person?,gray,Gray,gray,TRUE,correct,yes,,
parser_v04_032,Qwen2.5-VL-7B,context_crop,manual_20260713_0076_manual_20260713_0076_hat_1_l1_hat_1_color,images/manual_20260713_0076.jpg,L1,hat,attribute,What color is the leftmost hat?,white,White,white,TRUE,correct,yes,,
parser_v04_033,Qwen2.5-VL-7B,box_guided,manual_20260713_0028_manual_20260713_0028_chair_1_l3_chair_2_right_chair_3,images/manual_20260713_0028.jpg,L3,chair,attribute,What color is the chair immediately to the right of the yellow chair?,white,White,white,TRUE,correct,yes,,
parser_v04_034,Qwen2.5-VL-7B,dim_non_target,manual_20260713_0006_manual_20260713_0006_motorcycle_1_l3_motorcycle_2_left_motorcycle_1,images/manual_20260713_0006.jpg,L3,motorcycle,attribute,What color is the motorcycle immediately to the left of the white motorcycle?,blue,Blue,blue,TRUE,correct,yes,,
parser_v04_035,Qwen2.5-VL-7B,crop_oracle,coco_174043_coco_174043_car_1_l3_car_3_left_car_2,images/coco_000000174043.jpg,L3,car,attribute,What color is the car immediately to the left of the red car?,blue,Blue,blue,TRUE,correct,yes,,
parser_v04_036,Qwen2.5-VL-7B,box_guided,coco_443769_coco_443769_person_1_l1_person_3_upper_clothing_color,images/coco_000000443769.jpg,L1,person,attribute,What color is the upper clothing of the rightmost person?,black,black,black,TRUE,correct,yes,,
parser_v04_037,Qwen2.5-VL-7B,box_guided,manual_0038_manual_0038_person_1_l1_person_2_upper_clothing_color,images/manual_0038.jpg,L1,person,attribute,What color is the upper clothing of the middle person?,white,White,white,TRUE,correct,yes,,
parser_v04_038,Qwen2.5-VL-7B,full_image,coco_409708_coco_409708_person_1_l3_person_2_right_person_3,images/coco_000000409708.jpg,L3,person,attribute,What color is the upper clothing of the person immediately to the right of the person wearing white upper clothing?,pink,pink,pink,TRUE,correct,yes,,
parser_v04_039,Qwen2.5-VL-7B,crop_oracle,coco_203509_coco_203509_person_1_l3_person_2_left_person_1,images/coco_000000203509.jpg,L3,person,attribute,What color is the upper clothing of the person immediately to the left of the person wearing gray upper clothing?,black,Black,black,TRUE,correct,yes,,
parser_v04_040,Qwen2.5-VL-7B,crop_oracle,manual_0003_manual_0003_person_1_l1_person_1_upper_clothing_color,images/manual_0003.jpg,L1,person,attribute,What color is the upper clothing of the leftmost person?,white,White,white,TRUE,correct,yes,,
parser_v04_041,InternVL3-8B,context_crop,coco_63240_coco_63240_person_1_l1_person_3_upper_clothing_color,images/coco_000000063240.jpg,L1,person,attribute,What color is the upper clothing of the third from left person?,gray,Blue,blue,FALSE,adjacent_misbinding,yes,,
parser_v04_042,InternVL3-8B,context_crop,manual_0033_manual_0033_person_1_l1_person_3_upper_clothing_color,images/manual_0033.jpg,L1,person,attribute,What color is the upper clothing of the rightmost person?,yellow,White,white,FALSE,adjacent_misbinding,yes,,
parser_v04_043,InternVL3-8B,full_image,manual_0021_manual_0021_car_1_l1_car_2_color,images/manual_0021.jpg,L1,car,attribute,What color is the second from left car?,yellow,White,white,FALSE,adjacent_misbinding,yes,,
parser_v04_044,InternVL3-8B,dim_non_target,coco_17364_coco_17364_person_1_l1_person_2_upper_clothing_color,images/coco_000000017364.jpg,L1,person,attribute,What color is the upper clothing of the middle person?,white,Black,black,FALSE,adjacent_misbinding,yes,,
parser_v04_045,InternVL3-8B,full_image,coco_78671_coco_78671_person_1_l4_person_2_upper_clothing_color_blue_no,images/coco_000000078671.jpg,L4,person,yes_no,Is the upper clothing of the middle person blue?,no,Yes,yes,FALSE,adjacent_misbinding,yes,,
parser_v04_046,InternVL3-8B,crop_oracle,coco_416385_coco_416385_car_1_l1_car_2_color,images/coco_000000416385.jpg,L1,car,attribute,What color is the middle car?,gray,Blue,blue,FALSE,adjacent_misbinding,yes,,
parser_v04_047,InternVL3-8B,full_image,manual_0062_manual_0062_person_1_l1_person_3_upper_clothing_color,images/manual_0062.jpg,L1,person,attribute,What color is the upper clothing of the middle person?,white,Green,green,FALSE,adjacent_misbinding,yes,,
parser_v04_048,InternVL3-8B,context_crop,coco_195896_coco_195896_person_1_l3_person_2_right_person_3,images/coco_000000195896.jpg,L3,person,attribute,What color is the upper clothing of the person immediately to the right of the person wearing blue upper clothing?,black,Blue,blue,FALSE,adjacent_misbinding,yes,,
parser_v04_049,InternVL3-8B,dim_non_target,coco_497049_coco_497049_person_1_l3_person_1_right_person_2,images/coco_000000497049.jpg,L3,person,attribute,What color is the upper clothing of the person immediately to the right of the person wearing green upper clothing?,gray,Black,black,FALSE,adjacent_misbinding,yes,,
parser_v04_050,InternVL3-8B,crop_oracle,manual_20260713_0168_manual_20260713_0168_pen_1_l3_pen_1_right_pen_2,images/manual_20260713_0168.png,L3,pen,attribute,What color is the pen immediately to the right of the purple pen?,pink,Purple,purple,FALSE,adjacent_misbinding,yes,,
parser_v04_051,InternVL3-8B,box_guided,manual_20260713_0040_manual_20260713_0040_hat_1_l1_hat_3_color,images/manual_20260713_0040.jpg,L1,hat,attribute,What color is the middle hat?,red,Pink,pink,FALSE,non_adjacent_misbinding,yes,,
parser_v04_052,InternVL3-8B,dim_non_target,coco_228558_coco_228558_car_1_l1_car_1_color,images/coco_000000228558.jpg,L1,car,attribute,What color is the leftmost car?,black,White,white,FALSE,non_adjacent_misbinding,yes,,
parser_v04_053,InternVL3-8B,box_guided,manual_20260713_0042_manual_20260713_0042_bottle_1_l3_bottle_5_left_bottle_4,images/manual_20260713_0042.jpg,L3,bottle,attribute,What color is the bottle immediately to the left of the yellow bottle?,orange,Red,red,FALSE,non_adjacent_misbinding,yes,,
parser_v04_054,InternVL3-8B,crop_oracle,coco_87479_coco_87479_person_1_l1_person_1_upper_clothing_color,images/coco_000000087479.jpg,L1,person,attribute,What color is the upper clothing of the leftmost person?,black,Maroon,red,FALSE,non_adjacent_misbinding,yes,,
parser_v04_055,InternVL3-8B,full_image,manual_0024_manual_0024_person_1_l1_person_1_upper_clothing_color,images/manual_0024.jpg,L1,person,attribute,What color is the upper clothing of the leftmost person?,multicolor,Black,black,FALSE,non_adjacent_misbinding,yes,,
parser_v04_056,InternVL3-8B,crop_oracle,coco_450359_coco_450359_person_1_l1_person_2_upper_clothing_color,images/coco_000000450359.jpg,L1,person,attribute,What color is the upper clothing of the second from left person?,pink,Red,red,FALSE,non_adjacent_misbinding,yes,,
parser_v04_057,InternVL3-8B,box_guided,coco_420234_coco_420234_person_1_l3_person_2_right_person_3,images/coco_000000420234.jpg,L3,person,attribute,What color is the upper clothing of the person immediately to the right of the person wearing white upper clothing?,gray,Black,black,FALSE,non_adjacent_misbinding,yes,,
parser_v04_058,InternVL3-8B,box_guided,manual_20260713_0078_manual_20260713_0078_bottle_1_l1_bottle_3_color,images/manual_20260713_0078.jpg,L1,bottle,attribute,What color is the rightmost bottle?,orange,Red,red,FALSE,out_of_set_hallucination,yes,,
parser_v04_059,InternVL3-8B,context_crop,manual_20260713_0126_manual_20260713_0126_motorcycle_1_l3_motorcycle_2_right_motorcycle_3,images/manual_20260713_0126.png,L3,motorcycle,attribute,What color is the motorcycle immediately to the right of the pink motorcycle?,green,Turquoise,turquoise,FALSE,out_of_set_hallucination,yes,,
parser_v04_060,InternVL3-8B,crop_oracle,manual_20260713_0160_manual_20260713_0160_hat_1_l3_hat_4_right_hat_5,images/manual_20260713_0160.png,L3,hat,attribute,What color is the hat immediately to the right of the yellow hat?,brown,Tan,beige,FALSE,out_of_set_hallucination,yes,,
parser_v04_061,InternVL3-8B,dim_non_target,coco_300137_coco_300137_chair_1_l3_chair_2_left_chair_1,images/coco_000000300137.jpg,L3,chair,attribute,What color is the chair immediately to the left of the black chair?,yellow,Brown,brown,FALSE,out_of_set_hallucination,yes,,
parser_v04_062,InternVL3-8B,crop_oracle,manual_0089_manual_0089_bag_1_l1_bag_5_color,images/manual_0089.png,L1,bag,attribute,What color is the second from right bag?,beige,Three,three,FALSE,out_of_set_hallucination,yes,,问题是颜色（What color...），raw回答"Three"（位置/数量），parser抽成"three"也算忠实抽取了raw，但raw本身不是有效颜色答案。parser忠实度层面，raw="Three"→parser="three"一致，应标yes。
parser_v04_063,InternVL3-8B,box_guided,coco_15345_coco_15345_person_1_l1_person_1_upper_clothing_color,images/coco_000000015345.jpg,L1,person,attribute,What color is the upper clothing of the leftmost person?,multicolor,Gray,gray,FALSE,out_of_set_hallucination,yes,,
parser_v04_064,InternVL3-8B,full_image,manual_20260713_0062_manual_20260713_0062_motorcycle_1_l3_motorcycle_3_left_motorcycle_2,images/manual_20260713_0062.jpg,L3,motorcycle,attribute,What color is the motorcycle immediately to the left of the blue motorcycle?,brown,Gold,gold,FALSE,out_of_set_hallucination,yes,,
parser_v04_065,InternVL3-8B,full_image,coco_562232_coco_562232_person_1_l4_person_4_upper_clothing_color_gray_yes,images/coco_000000562232.jpg,L4,person,yes_no,Is the upper clothing of the rightmost person gray?,yes,No,no,FALSE,attribute_recognition_failure,yes,,
parser_v04_066,InternVL3-8B,full_image,coco_523871_coco_523871_chair_1_l4_chair_3_color_black_yes,images/coco_000000523871.jpg,L4,chair,yes_no,Is the rightmost chair black?,yes,No,no,FALSE,attribute_recognition_failure,yes,,
parser_v04_067,InternVL3-8B,full_image,coco_155319_coco_155319_person_1_l4_person_1_upper_clothing_color_gray_yes,images/coco_000000155319.jpg,L4,person,yes_no,Is the upper clothing of the leftmost person gray?,yes,No,no,FALSE,attribute_recognition_failure,yes,,
parser_v04_068,InternVL3-8B,full_image,coco_195896_coco_195896_person_1_l4_person_2_upper_clothing_color_blue_yes,images/coco_000000195896.jpg,L4,person,yes_no,Is the upper clothing of the middle person blue?,yes,No,no,FALSE,attribute_recognition_failure,yes,,
parser_v04_069,InternVL3-8B,full_image,manual_0090_manual_0090_car_1_l4_car_1_color_blue_yes,images/manual_0090.png,L4,car,yes_no,Is the leftmost car blue?,yes,No,no,FALSE,attribute_recognition_failure,yes,,
parser_v04_070,InternVL3-8B,full_image,manual_20260713_0030_manual_20260713_0030_umbrella_1_l4_umbrella_1_color_yellow_yes,images/manual_20260713_0030.jpg,L4,umbrella,yes_no,Is the leftmost umbrella yellow?,yes,No,no,FALSE,attribute_recognition_failure,yes,,
parser_v04_071,InternVL3-8B,crop_oracle,coco_578237_coco_578237_person_1_l3_person_1_right_person_2,images/coco_000000578237.jpg,L3,person,attribute,What color is the upper clothing of the person immediately to the right of the person wearing red upper clothing?,white,White,white,TRUE,correct,yes,,
parser_v04_072,InternVL3-8B,box_guided,coco_209048_coco_209048_cup_1_l3_cup_2_right_cup_3,images/coco_000000209048.jpg,L3,cup,attribute,What color is the cup immediately to the right of the brown cup?,red,Red,red,TRUE,correct,yes,,
parser_v04_073,InternVL3-8B,context_crop,manual_20260713_0066_manual_20260713_0066_bottle_1_l3_bottle_2_right_bottle_3,images/manual_20260713_0066.jpg,L3,bottle,attribute,What color is the bottle immediately to the right of the red bottle?,yellow,Yellow,yellow,TRUE,correct,yes,,
parser_v04_074,InternVL3-8B,dim_non_target,coco_557633_coco_557633_person_1_l3_person_3_left_person_2,images/coco_000000557633.jpg,L3,person,attribute,What color is the upper clothing of the person immediately to the left of the person wearing gray upper clothing?,white,White,white,TRUE,correct,yes,,
parser_v04_075,InternVL3-8B,full_image,manual_20260713_0173_manual_20260713_0173_pen_1_l4_pen_2_color_orange_yes,images/manual_20260713_0173.png,L4,pen,yes_no,Is the second from left pen orange?,yes,Yes,yes,TRUE,correct,yes,,
parser_v04_076,InternVL3-8B,full_image,coco_27569_coco_27569_person_1_l1_person_1_upper_clothing_color,images/coco_000000027569.jpg,L1,person,attribute,What color is the upper clothing of the leftmost person?,blue,Blue,blue,TRUE,correct,yes,,
parser_v04_077,InternVL3-8B,full_image,coco_522727_coco_522727_person_1_l4_person_1_upper_clothing_color_gray_no,images/coco_000000522727.jpg,L4,person,yes_no,Is the upper clothing of the leftmost person gray?,no,No,no,TRUE,correct,yes,,
parser_v04_078,InternVL3-8B,box_guided,coco_370270_coco_370270_person_1_l1_person_1_upper_clothing_color,images/coco_000000370270.jpg,L1,person,attribute,What color is the upper clothing of the leftmost person?,white,White,white,TRUE,correct,yes,,
parser_v04_079,InternVL3-8B,dim_non_target,manual_20260713_0003_manual_20260713_0003_motorcycle_1_l3_motorcycle_2_right_motorcycle_3,images/manual_20260713_0003.jpg,L3,motorcycle,attribute,What color is the motorcycle immediately to the right of the white motorcycle?,blue,Blue,blue,TRUE,correct,yes,,
parser_v04_080,InternVL3-8B,crop_oracle,manual_0054_manual_0054_bag_1_l3_bag_4_right_bag_5,images/manual_0054.jpg,L3,bag,attribute,What color is the bag immediately to the right of the yellow bag?,pink,Pink,pink,TRUE,correct,yes,,
parser_v04_081,LLaVA-1.5-7B,box_guided,coco_482187_coco_482187_person_1_l1_person_2_upper_clothing_color,images/coco_000000482187.jpg,L1,person,attribute,What color is the upper clothing of the middle person?,white,Blue,blue,FALSE,adjacent_misbinding,yes,,
parser_v04_082,LLaVA-1.5-7B,full_image,manual_20260713_0186_manual_20260713_0186_car_1_l4_car_2_color_red_no,images/manual_20260713_0186.png,L4,car,yes_no,Is the second from left car red?,no,Yes,yes,FALSE,adjacent_misbinding,yes,,
parser_v04_083,LLaVA-1.5-7B,context_crop,manual_0045_manual_0045_bag_1_l1_bag_2_color,images/manual_0045.jpg,L1,bag,attribute,What color is the second from left bag?,white,Red,red,FALSE,adjacent_misbinding,yes,,
parser_v04_084,LLaVA-1.5-7B,full_image,coco_25864_coco_25864_car_1_l4_car_2_color_red_no,images/coco_000000025864.jpg,L4,car,yes_no,Is the middle car red?,no,Yes,yes,FALSE,adjacent_misbinding,yes,,
parser_v04_085,LLaVA-1.5-7B,full_image,manual_20260713_0172_manual_20260713_0172_pen_1_l3_pen_1_right_pen_2,images/manual_20260713_0172.png,L3,pen,attribute,What color is the pen immediately to the right of the purple pen?,red,Yellow,yellow,FALSE,adjacent_misbinding,yes,,
parser_v04_086,LLaVA-1.5-7B,full_image,coco_446920_coco_446920_person_1_l4_person_3_upper_clothing_color_white_no,images/coco_000000446920.jpg,L4,person,yes_no,Is the upper clothing of the rightmost person white?,no,Yes,yes,FALSE,adjacent_misbinding,yes,,
parser_v04_087,LLaVA-1.5-7B,full_image,manual_20260713_0063_manual_20260713_0063_box_1_l2_box_3_color_yellow,images/manual_20260713_0063.jpg,L2,box,position,"Where is the yellow box?
A. leftmost
B. second from left
C. third from left
D. rightmost",third from left,B,second from left,FALSE,adjacent_misbinding,yes,,
parser_v04_088,LLaVA-1.5-7B,box_guided,manual_20260713_0091_manual_20260713_0091_bottle_1_l3_bottle_1_right_bottle_2,images/manual_20260713_0091.jpg,L3,bottle,attribute,What color is the bottle immediately to the right of the pink bottle?,beige,Blue,blue,FALSE,adjacent_misbinding,yes,,
parser_v04_089,LLaVA-1.5-7B,full_image,manual_20260713_0075_manual_20260713_0075_motorcycle_1_l3_motorcycle_3_left_motorcycle_2,images/manual_20260713_0075.jpg,L3,motorcycle,attribute,What color is the motorcycle immediately to the left of the black motorcycle?,green,Blue,blue,FALSE,adjacent_misbinding,yes,,
parser_v04_090,LLaVA-1.5-7B,box_guided,gqa_2326521_gqa_2326521_car_1_l1_car_2_color,images/gqa_2326521.jpg,L1,car,attribute,What color is the middle car?,blue,Red,red,FALSE,adjacent_misbinding,yes,,
parser_v04_091,LLaVA-1.5-7B,crop_oracle,coco_177207_coco_177207_person_1_l1_person_3_upper_clothing_color,images/coco_000000177207.jpg,L1,person,attribute,What color is the upper clothing of the rightmost person?,gray,Blue,blue,FALSE,non_adjacent_misbinding,yes,,
parser_v04_092,LLaVA-1.5-7B,full_image,manual_20260713_0120_manual_20260713_0120_person_1_l3_person_3_right_person_4,images/manual_20260713_0120.png,L3,person,attribute,What color is the upper clothing of the person immediately to the right of the person wearing pink upper clothing?,green,White,white,FALSE,non_adjacent_misbinding,yes,,
parser_v04_093,LLaVA-1.5-7B,full_image,coco_502963_coco_502963_umbrella_1_l1_umbrella_3_color,images/coco_000000502963.jpg,L1,umbrella,attribute,What color is the rightmost umbrella?,white,Black,black,FALSE,non_adjacent_misbinding,yes,,
parser_v04_094,LLaVA-1.5-7B,full_image,coco_216449_coco_216449_person_1_l1_person_1_upper_clothing_color,images/coco_000000216449.jpg,L1,person,attribute,What color is the upper clothing of the leftmost person?,pink,Green,green,FALSE,non_adjacent_misbinding,yes,,
parser_v04_095,LLaVA-1.5-7B,full_image,manual_20260713_0143_manual_20260713_0143_chair_1_l3_chair_4_left_chair_3,images/manual_20260713_0143.png,L3,chair,attribute,What color is the chair immediately to the left of the blue chair?,pink,Yellow,yellow,FALSE,non_adjacent_misbinding,yes,,
parser_v04_096,LLaVA-1.5-7B,full_image,manual_0043_manual_0043_bag_1_l2_bag_3_color_white,images/manual_0043.jpg,L2,bag,position,"Where is the white bag?
A. leftmost
B. middle
C. rightmost",rightmost,A,leftmost,FALSE,non_adjacent_misbinding,yes,,
parser_v04_097,LLaVA-1.5-7B,full_image,manual_20260713_0034_manual_20260713_0034_box_1_l3_box_5_left_box_4,images/manual_20260713_0034.jpg,L3,box,attribute,What color is the box immediately to the left of the white box?,green,Yellow,yellow,FALSE,non_adjacent_misbinding,yes,,
parser_v04_098,LLaVA-1.5-7B,context_crop,manual_20260713_0185_manual_20260713_0185_pen_1_l3_pen_1_right_pen_2,images/manual_20260713_0185.png,L3,pen,attribute,What color is the pen immediately to the right of the black pen?,blue,Gray,gray,FALSE,out_of_set_hallucination,yes,,
parser_v04_099,LLaVA-1.5-7B,full_image,coco_227204_coco_227204_cup_1_l1_cup_3_color,images/coco_000000227204.jpg,L1,cup,attribute,What color is the rightmost cup?,white,Blue,blue,FALSE,out_of_set_hallucination,yes,,
parser_v04_100,LLaVA-1.5-7B,dim_non_target,manual_0028_manual_0028_person_1_l1_person_4_upper_clothing_color,images/manual_0028.jpg,L1,person,attribute,What color is the upper clothing of the rightmost person?,yellow,Orange,orange,FALSE,out_of_set_hallucination,yes,,
parser_v04_101,LLaVA-1.5-7B,context_crop,manual_0092_manual_0092_bag_1_l3_bag_1_right_bag_2,images/manual_0092.png,L3,bag,attribute,What color is the bag immediately to the right of the yellow bag?,red,Pink,pink,FALSE,out_of_set_hallucination,yes,,
parser_v04_102,LLaVA-1.5-7B,box_guided,manual_20260713_0053_manual_20260713_0053_motorcycle_1_l3_motorcycle_3_left_motorcycle_2,images/manual_20260713_0053.jpg,L3,motorcycle,attribute,What color is the motorcycle immediately to the left of the blue motorcycle?,orange,Red,red,FALSE,out_of_set_hallucination,yes,,
parser_v04_103,LLaVA-1.5-7B,box_guided,manual_20260713_0012_manual_20260713_0012_suitcase_1_l3_suitcase_2_right_suitcase_3,images/manual_20260713_0012.jpg,L3,suitcase,attribute,What color is the suitcase immediately to the right of the green suitcase?,orange,Red,red,FALSE,out_of_set_hallucination,yes,,
parser_v04_104,LLaVA-1.5-7B,dim_non_target,manual_20260713_0036_manual_20260713_0036_pen_1_l3_pen_2_right_pen_3,images/manual_20260713_0036.jpg,L3,pen,attribute,What color is the pen immediately to the right of the green pen?,red,Pink,pink,FALSE,out_of_set_hallucination,yes,,
parser_v04_105,LLaVA-1.5-7B,full_image,coco_409708_coco_409708_person_1_l4_person_2_upper_clothing_color_white_yes,images/coco_000000409708.jpg,L4,person,yes_no,Is the upper clothing of the middle person white?,yes,No,no,FALSE,attribute_recognition_failure,yes,,
